,URL,Date,Tweet ID,Username,Tweet,Hashtag,Like Count
157,https://twitter.com/doncharbone/status/1575899892790472704,2022-09-30 17:26:27+00:00,1.5759E+18,doncharbone,"@CNNIndonesia Penjualan Pertamax menurun drastis pasca kenaikan harga BBM awal bulan September.
Konsumen Pertamax banyak yang beralih ke Shell atau Vivo. Makanya harga Pertamax diturunkan biar tidak kalah saing.",,125
158,https://twitter.com/yusuf_dumdum/status/1575899134967435264,2022-09-30 17:23:27+00:00,1.5759E+18,yusuf_dumdum,"Breaking News! 

Harga Pertamax dan 3 Jenis BBM Turun Malam Ini Mulai Pukul 00.00 WIB. Berikut Daftar Harga Terbarunya! https://t.co/9hhiTEpHqx",,281
159,https://twitter.com/RamliRizal/status/1575815299982839808,2022-09-30 11:50:19+00:00,1.57582E+18,RamliRizal,"Kok tiba2 @jokowi, SMI &amp; LBP menyebar ketakutan inflasi, stagflasi dgn menyalahkan faktor2 internasional. Kok ndak jujur utk jelaskan bahwa resiko2 stagflasi krn kesalahan kebijakan ⁦@jokowi⁩, situ jor2-n bangun infrastruktur dgn utang ugal2an, naikkan harga bbm, listrik https://t.co/04OLs82QPe",,6912
160,https://twitter.com/SirianaGde/status/1575792279507243009,2022-09-30 10:18:50+00:00,1.57579E+18,SirianaGde,"Dengerin pidato presiden yg minta BI &amp; Kemenkeu briringan hadapi inflasi knaikan harga pangan &amp; transportasi. Koq Presiden spt tdk mrasa brsalah ya? Mestinya dr awal sadar bhw mnaikkan harga BBM subsidi kan naikkan inflasi. Jd sdh siap dg konsekuensinya.
https://t.co/eXUbvLefV2",,264
161,https://twitter.com/QaillaAsyiqah/status/1575785301343338496,2022-09-30 09:51:07+00:00,1.57579E+18,QaillaAsyiqah,"Sedang Berlangsung ~ Aksi Aliansi BEM SI Kerakyatan di kawasan Patung Kuda, Jakarta.. (30/Sept/2022)

Dengan Tuntutan:
•Tolak kenaikan harga BBM &amp; Bahan pokok
•Tuntaskan pelanggaran HAM
•Tolak RKUHP dll https://t.co/SZVBj0j0g5",,3475
162,https://twitter.com/OposisiCerdas/status/1575743517296455680,2022-09-30 07:05:05+00:00,1.57574E+18,OposisiCerdas,"Moeldoko Sebut Warga Sudah Menerima Kenaikan Harga BBM, Warganet: Matanya Buta, Hatinya Kosong, Telinganya Tuli
https://t.co/Wxq7vbfyUV",,1449
163,https://twitter.com/andry19633/status/1575732536092655616,2022-09-30 06:21:26+00:00,1.57573E+18,andry19633,"Sehabis Salat Jumat, Ribuan Mahasiswa Kembali Demo Menolak Kenaikan Harga BBM sekitar Istana, Patung Kuda, Jakarta https://t.co/EA546w4U7g  @RamliRizal https://t.co/JivZtJ47FX",,1426
164,https://twitter.com/thoughtstock_/status/1575661477926608896,2022-09-30 01:39:05+00:00,1.57566E+18,thoughtstock_,@WisnuArdiant @daraprayoga_ MA jadi presiden &gt; eh gampang disetir&gt; eh bbm naek lagi &gt; apa-apa harga naik &gt; satu indo ngambek,,443
165,https://twitter.com/KompasTV/status/1575628146359291904,2022-09-29 23:26:38+00:00,1.57563E+18,KompasTV,"Moeldoko: Masyarakat Bisa Terima Kenaikan Harga BBM, Saya Tidak Melihat Ada Situasi Kritis https://t.co/c0ohlxptye https://t.co/xo2w2S1asa",,1341
166,https://twitter.com/Hasbil_Lbs/status/1575468901520982017,2022-09-29 12:53:51+00:00,1.57547E+18,Hasbil_Lbs,"Harga BBM dinaikkan, keluar narasi membanding2kan harga di Negara lain. Dollar tembus 15 ribu, keluar lagi narasi membanding2kan dgn negara lain. 

Gakkkkkk mau disalahkan! https://t.co/j9Cp8ecYiS",,106
